scheme_name,returns_5yr,predicted_5yr
Sundaram Global Brand Fund,7.7,9.396264
ICICI Pru US Bluechip Equity Fund,15.9,9.39259
SBI Conservative Hybrid Fund,8.8,9.376845
IDBI Equity Advantage Fund,11.3,9.368297
AXIS Long Term Equity Fund,9.4,9.343713
UTI-CCF Investment Plan – Direct Growth,10.1,9.320622
Aditya Birla SL Manufacturing Equity Fund,6.8,9.304418
Baroda BNP Paribas Banking&Fin Serv Fund,9.1,9.282107
Taurus Largecap Equity Fund,7.6,9.276396
HDFC Retirement Savings Fund,7.8,9.264783
LIC MF Large Cap Fund,10.9,9.255542
Union Balanced Advantage Fund,10.2,9.251346
Canara Robeco Equity Hybrid Fund,12.2,9.227958
Aditya Birla SL Pure Value Fund,4.3,9.18696
HSBC Asia Pacific (Ex Japan) DYF – Direct Growth,5.7,9.166695
DSP Equity Savings Fund,7.8,9.15796
Aditya Birla SL Inter Equity – Plan B-Direct Growth,7.6,9.141019
Aditya Birla SL CEF – Global Agri Plan-Direct Growth,9.3,9.093591
LIC MF Flexi Cap Fund,8.8,9.021899
ICICI Pru Retirement Fund,13.3,9.016953
AXIS Balanced Advantage Fund,8.0,8.9740305
UTI-MNC Fund,7.9,8.950248
HDFC Retirement Savings Fund,12.3,8.9497385
Aditya Birla SL Equity Advantage Fund,7.9,8.938813
Nippon India Balanced Advantage Fund,10.1,8.9353485
LIC MF Children’s Gift Fund,7.6,8.900161
Kotak Equity Savings Fund,9.2,8.893336
Sundaram Balanced Advantage Fund,7.2,8.876812
Canara Robeco Conservative Hybrid Fund,9.4,8.862926
HDFC Equity Savings Fund,8.8,8.852603
DSP Global Allocation Fund,7.9,8.843606
Edelweiss Equity Savings Fund,9.0,8.824021
Tata Retirement Savings Fund,11.3,8.823543
UTI-India Consumer Fund,8.4,8.76892
Quant Liquid Plan – Direct Growth,5.9,8.731506
Navi ELSS Tax Saver Fund,10.5,8.686355
Sundaram Aggressive Hybrid Fund,9.7,8.642241
Motilal Oswal Flexi Cap Fund,4.9,8.628057
Indiabulls Value Fund,6.3,8.617224
HSBC Managed Solutions Conservative Fund,5.9,8.567145
Taurus Flexi Cap Fund,5.4,8.522025
Nippon India Retirement Fund,6.7,8.51686
Tata Equity Saving Fund,7.5,8.485676
SBI Equity Savings Fund,8.1,8.438278
ICICI Pru Equity Savings Fund,7.9,8.418349
Aditya Birla SL Medium Term Plan – Direct Growth,8.6,8.4167795
Tata Hybrid Equity Fund,10.5,8.414473
ICICI Pru Gilt Fund,8.4,8.3849535
Franklin India Equity Hybrid Fund,11.0,8.377673
Nippon India Equity Hybrid Fund,5.9,8.359124
IIFL Dynamic Bond Fund,6.5,8.348473
Tata Retirement Savings Fund,9.4,8.313007
HSBC Equity Savings Fund,7.5,8.275805
Nippon India Banking & PSU Debt Fund,7.4,8.274282
Aditya Birla SL Tax Relief ’96 – Direct Growth,5.8,8.258704
JM Low Duration Fund,5.3,8.182557
Sundaram Equity Savings Fund,9.9,8.150079
Aditya Birla SL Inter Equity – Plan A-Direct Growth,10.4,8.133262
Kotak Gilt – Invest Plan – Direct Growth,8.4,8.124344
Kotak Gilt Invest – PF & Trust Plan – Direct Growth,8.4,8.123906
